title,url,sqm,rooms,state,elevator,price
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/91285151/,56.0,1.0,second_hand,True,432000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/90742890/,69.0,3.0,second_hand,True,340000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/91233181/,110.0,2.0,second_hand,True,475000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/90133742/,109.0,3.0,second_hand,False,580000.0
Ático en venta en El Poblenou,https://www.idealista.com/inmueble/89350187/,93.0,2.0,second_hand,False,455000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/88877897/,79.0,2.0,second_hand,False,391000.0
Casa o chalet independiente en venta en Castanys,https://www.idealista.com/inmueble/90784445/,150.0,4.0,need_renovation,False,360000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/90911940/,120.0,3.0,second_hand,False,649000.0
Piso en venta en calle del Joncar,https://www.idealista.com/inmueble/90260166/,84.0,3.0,second_hand,True,455000.0
Piso en venta en calle de Lope de Vega,https://www.idealista.com/inmueble/91336583/,75.0,3.0,second_hand,True,335000.0
"Piso en venta en paseo de Taulat, 179",https://www.idealista.com/inmueble/85110552/,0.0,81.0,new,True,411000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/90406434/,80.0,2.0,second_hand,False,390000.0
"Piso en venta en paseo de Taulat, 179",https://www.idealista.com/inmueble/85325781/,0.0,76.0,new,True,426000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/90584716/,115.0,3.0,second_hand,True,565000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/91035178/,84.0,3.0,second_hand,True,455000.0
Piso en venta en calle de Marià Aguiló,https://www.idealista.com/inmueble/90520917/,129.0,3.0,second_hand,True,470000.0
Dúplex en venta en El Poblenou,https://www.idealista.com/inmueble/88056833/,104.0,2.0,second_hand,True,470000.0
"Piso en venta en paseo de Taulat, 179",https://www.idealista.com/inmueble/85325622/,0.0,96.0,new,True,498000.0
Piso en venta en Bilbao,https://www.idealista.com/inmueble/87163238/,195.0,3.0,second_hand,True,640000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/89931696/,83.0,3.0,second_hand,True,360000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/91341904/,90.0,2.0,second_hand,False,390000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/91296661/,71.0,2.0,second_hand,True,382000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/91264120/,73.0,2.0,second_hand,True,395000.0
"Piso en venta en calle de Lope de Vega, 25",https://www.idealista.com/inmueble/91268462/,75.0,2.0,second_hand,True,395000.0
Piso en venta en avenida Diagonal,https://www.idealista.com/inmueble/91008980/,82.0,1.0,second_hand,True,405000.0
Piso en venta en El Poblenou,https://www.idealista.com/inmueble/91186772/,105.0,4.0,second_hand,True,499000.0
Piso en venta en rambla del Poblenou,https://www.idealista.com/inmueble/91256316/,95.0,3.0,second_hand,True,395000.0
Piso en venta en calle de Pujades,https://www.idealista.com/inmueble/91318241/,80.0,3.0,second_hand,True,365000.0
