title,url,sqm,rooms,state,elevator,price
Piso en venta en Sarrià,https://www.idealista.com/inmueble/89050729/,62.0,1.0,second_hand,False,145000.0
Piso en venta en Sarrià,https://www.idealista.com/inmueble/88921037/,116.0,3.0,second_hand,True,454000.0
Piso en venta en Osi,https://www.idealista.com/inmueble/89923425/,86.0,2.0,second_hand,True,416000.0
Piso en venta en calle de Benet Mateu,https://www.idealista.com/inmueble/88882903/,108.0,4.0,need_renovation,True,415000.0
Piso en venta en calle de Benet Mateu,https://www.idealista.com/inmueble/88370438/,108.0,4.0,need_renovation,True,460000.0
"Casa o chalet independiente en venta en Urb. CAN CARALLEU, Sarrià",https://www.idealista.com/inmueble/87321074/,177.0,3.0,need_renovation,False,395000.0
Piso en venta en calle d'Eduardo Conde,https://www.idealista.com/inmueble/90281983/,101.0,4.0,need_renovation,True,525000.0
Ático en venta en Manuel de falla,https://www.idealista.com/inmueble/87495070/,74.0,2.0,second_hand,True,510000.0
Piso en venta en calle del Pedró de la Creu,https://www.idealista.com/inmueble/90576731/,61.0,2.0,need_renovation,False,345000.0
Piso en venta en calle de Benet Mateu,https://www.idealista.com/inmueble/87610544/,108.0,4.0,second_hand,True,395000.0
Piso en venta en Sarrià,https://www.idealista.com/inmueble/87417552/,124.0,4.0,need_renovation,True,450000.0
Piso en venta en Osi,https://www.idealista.com/inmueble/90933443/,83.0,3.0,second_hand,True,400000.0
Piso en venta en Sarrià,https://www.idealista.com/inmueble/89932483/,78.0,2.0,second_hand,True,460000.0
"Piso en venta en calle Hort de la Vila, 27 , 29",https://www.idealista.com/inmueble/90783038/,0.0,86.0,new,True,545000.0
Piso en venta en Sarrià,https://www.idealista.com/inmueble/36573941/,60.0,2.0,second_hand,True,280000.0
Piso en venta en calle del Pedró de la Creu,https://www.idealista.com/inmueble/90773084/,61.0,2.0,need_renovation,False,345000.0
Piso en venta en Sarrià,https://www.idealista.com/inmueble/89143026/,145.0,3.0,second_hand,True,500000.0
Ático en venta en Graus,https://www.idealista.com/inmueble/90831777/,91.0,4.0,need_renovation,True,550000.0
Piso en venta en calle de Benet Mateu,https://www.idealista.com/inmueble/88973963/,92.0,4.0,second_hand,True,460000.0
"Piso en venta en calle de Manuel de Falla, 30 B",https://www.idealista.com/inmueble/90278017/,75.0,3.0,need_renovation,True,350000.0
Piso en venta en calle de Benet Mateu,https://www.idealista.com/inmueble/89959820/,108.0,4.0,need_renovation,True,395000.0
Piso en venta en calle de Benet Mateu,https://www.idealista.com/inmueble/89145365/,108.0,4.0,second_hand,True,395000.0
Piso en venta en Osi,https://www.idealista.com/inmueble/90847514/,50.0,1.0,second_hand,True,300000.0
Piso en venta en Sarrià,https://www.idealista.com/inmueble/90665439/,65.0,2.0,second_hand,False,290000.0
Piso en venta en calle de la Mare de Déu de Núria,https://www.idealista.com/inmueble/87919645/,103.0,3.0,second_hand,True,490000.0
Piso en venta en calle de Benet Mateu,https://www.idealista.com/inmueble/87627208/,108.0,4.0,second_hand,True,430000.0
"Piso en venta en calle del Pedró de la Creu, 9",https://www.idealista.com/inmueble/90773223/,61.0,2.0,need_renovation,False,345000.0
Piso en venta en calle del Capità Arenas,https://www.idealista.com/inmueble/90246534/,77.0,3.0,need_renovation,True,460000.0
